2013-02-22 17:44:36,607 - pmlib_server.Server - ERROR - Error en accept
2013-02-22 17:44:36,607 - pmlib_server.Server - ERROR - Error in self.run() of Server class: [Errno 9] Bad file descriptor
2013-03-01 16:17:48,166 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40432)
2013-03-01 16:17:48,265 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40435)
2013-03-01 16:17:48,364 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40438)
2013-03-01 16:17:48,464 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40441)
2013-03-01 16:17:48,563 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40444)
2013-03-01 16:17:48,663 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40447)
2013-03-01 16:17:48,761 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40450)
2013-03-01 16:17:48,861 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40453)
2013-03-01 16:17:48,962 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40456)
2013-03-01 16:17:49,061 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40459)
2013-03-01 16:17:49,161 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40462)
2013-03-01 16:17:49,260 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40465)
2013-03-01 16:17:49,360 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40468)
2013-03-01 16:17:49,459 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40471)
2013-03-01 16:17:49,559 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40474)
2013-03-01 16:17:49,658 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40477)
2013-03-01 16:17:49,757 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40480)
2013-03-01 16:17:49,856 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40483)
2013-03-01 16:17:49,956 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40486)
2013-03-01 16:17:50,055 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40489)
2013-03-01 16:17:50,154 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40492)
2013-03-01 16:17:50,255 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40495)
2013-03-01 16:17:50,354 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40498)
2013-03-01 16:17:50,453 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40501)
2013-03-01 16:17:50,552 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40504)
2013-03-01 16:17:50,651 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40507)
2013-03-01 16:17:50,751 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40510)
2013-03-01 16:17:50,851 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40513)
2013-03-01 16:17:50,951 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40516)
2013-03-01 16:17:51,049 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40519)
2013-03-01 16:17:51,147 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40522)
2013-03-01 16:17:51,246 - pmlib_server.Counter - ERROR - Connection closed from client!: ('150.128.82.152', 40525)
